,Book_Name,Rating out of 5,Link,Price,Quantity,Cover_Imagelink,Book_Link
0,A Light in the Attic,Three,a-light-in-the-attic_1000/index.html,Â£51.77,In stock,../media/cache/2c/da/2cdad67c44b002e7ead0cc35693c0e8b.jpg,a-light-in-the-attic_1000/index.html
1,Tipping the Velvet,One,tipping-the-velvet_999/index.html,Â£53.74,In stock,../media/cache/26/0c/260c6ae16bce31c8f8c95daddd9f4a1c.jpg,tipping-the-velvet_999/index.html
2,Soumission,One,soumission_998/index.html,Â£50.10,In stock,../media/cache/3e/ef/3eef99c9d9adef34639f510662022830.jpg,soumission_998/index.html
3,Sharp Objects,Four,sharp-objects_997/index.html,Â£47.82,In stock,../media/cache/32/51/3251cf3a3412f53f339e42cac2134093.jpg,sharp-objects_997/index.html
4,Sapiens: A Brief History of Humankind,Five,sapiens-a-brief-history-of-humankind_996/index.html,Â£54.23,In stock,../media/cache/be/a5/bea5697f2534a2f86a3ef27b5a8c12a6.jpg,sapiens-a-brief-history-of-humankind_996/index.html
5,The Requiem Red,One,the-requiem-red_995/index.html,Â£22.65,In stock,../media/cache/68/33/68339b4c9bc034267e1da611ab3b34f8.jpg,the-requiem-red_995/index.html
6,The Dirty Little Secrets of Getting Your Dream Job,Four,the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,Â£33.34,In stock,../media/cache/92/27/92274a95b7c251fea59a2b8a78275ab4.jpg,the-dirty-little-secrets-of-getting-your-dream-job_994/index.html
7,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Three,the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,Â£17.93,In stock,../media/cache/3d/54/3d54940e57e662c4dd1f3ff00c78cc64.jpg,the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html
8,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Four,the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,Â£22.60,In stock,../media/cache/66/88/66883b91f6804b2323c8369331cb7dd1.jpg,the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html
9,The Black Maria,One,the-black-maria_991/index.html,Â£52.15,In stock,../media/cache/58/46/5846057e28022268153beff6d352b06c.jpg,the-black-maria_991/index.html
10,"Starving Hearts (Triangular Trade Trilogy, #1)",Two,starving-hearts-triangular-trade-trilogy-1_990/index.html,Â£13.99,In stock,../media/cache/be/f4/bef44da28c98f905a3ebec0b87be8530.jpg,starving-hearts-triangular-trade-trilogy-1_990/index.html
11,Shakespeare's Sonnets,Four,shakespeares-sonnets_989/index.html,Â£20.66,In stock,../media/cache/10/48/1048f63d3b5061cd2f424d20b3f9b666.jpg,shakespeares-sonnets_989/index.html
12,Set Me Free,Five,set-me-free_988/index.html,Â£17.46,In stock,../media/cache/5b/88/5b88c52633f53cacf162c15f4f823153.jpg,set-me-free_988/index.html
13,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Five,scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,Â£52.29,In stock,../media/cache/94/b1/94b1b8b244bce9677c2f29ccc890d4d2.jpg,scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html
14,Rip it Up and Start Again,Five,rip-it-up-and-start-again_986/index.html,Â£35.02,In stock,../media/cache/81/c4/81c4a973364e17d01f217e1188253d5e.jpg,rip-it-up-and-start-again_986/index.html
15,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Three,our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html,Â£57.25,In stock,../media/cache/54/60/54607fe8945897cdcced0044103b10b6.jpg,our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html
16,Olio,One,olio_984/index.html,Â£23.88,In stock,../media/cache/55/33/553310a7162dfbc2c6d19a84da0df9e1.jpg,olio_984/index.html
17,Mesaerion: The Best Science Fiction Stories 1800-1849,One,mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html,Â£37.59,In stock,../media/cache/09/a3/09a3aef48557576e1a85ba7efea8ecb7.jpg,mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html
18,Libertarianism for Beginners,Two,libertarianism-for-beginners_982/index.html,Â£51.33,In stock,../media/cache/0b/bc/0bbcd0a6f4bcd81ccb1049a52736406e.jpg,libertarianism-for-beginners_982/index.html
19,It's Only the Himalayas,Two,its-only-the-himalayas_981/index.html,Â£45.17,In stock,../media/cache/27/a5/27a53d0bb95bdd88288eaf66c9230d7e.jpg,its-only-the-himalayas_981/index.html
20,In Her Wake,One,in-her-wake_980/index.html,Â£12.84,In stock,../media/cache/5d/72/5d72709c6a7a9584a4d1cf07648bfce1.jpg,in-her-wake_980/index.html
21,How Music Works,Two,how-music-works_979/index.html,Â£37.32,In stock,../media/cache/5c/c8/5cc8e107246cb478960d4f0aba1e1c8e.jpg,how-music-works_979/index.html
22,"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",Three,foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html,Â£30.52,In stock,../media/cache/9f/59/9f59f01fa916a7bb8f0b28a4012179a4.jpg,foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html
23,Chase Me (Paris Nights #2),Five,chase-me-paris-nights-2_977/index.html,Â£25.27,In stock,../media/cache/9c/2e/9c2e0eb8866b8e3f3b768994fd3d1c1a.jpg,chase-me-paris-nights-2_977/index.html
24,Black Dust,Five,black-dust_976/index.html,Â£34.53,In stock,../media/cache/44/cc/44ccc99c8f82c33d4f9d2afa4ef25787.jpg,black-dust_976/index.html
25,Birdsong: A Story in Pictures,Three,birdsong-a-story-in-pictures_975/index.html,Â£54.64,In stock,../media/cache/af/6e/af6e796160fe63e0cf19d44395c7ddf2.jpg,birdsong-a-story-in-pictures_975/index.html
26,America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,Three,americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html,Â£22.50,In stock,../media/cache/ef/0b/ef0bed08de4e083dba5e20fdb98d9c36.jpg,americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html
27,Aladdin and His Wonderful Lamp,Three,aladdin-and-his-wonderful-lamp_973/index.html,Â£53.13,In stock,../media/cache/d6/da/d6da0371958068bbaf39ea9c174275cd.jpg,aladdin-and-his-wonderful-lamp_973/index.html
28,Worlds Elsewhere: Journeys Around Shakespeareâs Globe,Five,worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html,Â£40.30,In stock,../media/cache/2e/98/2e98c332bf8563b584784971541c4445.jpg,worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html
29,Wall and Piece,Four,wall-and-piece_971/index.html,Â£44.18,In stock,../media/cache/a5/41/a5416b9646aaa7287baa287ec2590270.jpg,wall-and-piece_971/index.html
30,The Four Agreements: A Practical Guide to Personal Freedom,Five,the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html,Â£17.66,In stock,../media/cache/0f/7e/0f7ee69495c0df1d35723f012624a9f8.jpg,the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html
31,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Three,the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html,Â£31.05,In stock,../media/cache/38/c5/38c56fba316c07305643a8065269594e.jpg,the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html
32,The Elephant Tree,Five,the-elephant-tree_968/index.html,Â£23.82,In stock,../media/cache/5d/7e/5d7ecde8e81513eba8a64c9fe000744b.jpg,the-elephant-tree_968/index.html
33,The Bear and the Piano,One,the-bear-and-the-piano_967/index.html,Â£36.89,In stock,../media/cache/cf/bb/cfbb5e62715c6d888fd07794c9bab5d6.jpg,the-bear-and-the-piano_967/index.html
34,Sophie's World,Five,sophies-world_966/index.html,Â£15.94,In stock,../media/cache/65/71/6571919836ec51ed54f0050c31d8a0cd.jpg,sophies-world_966/index.html
35,Penny Maybe,Three,penny-maybe_965/index.html,Â£33.29,In stock,../media/cache/12/53/1253c21c5ef3c6d075c5fa3f5fecee6a.jpg,penny-maybe_965/index.html
36,Maude (1883-1993):She Grew Up with the country,Two,maude-1883-1993she-grew-up-with-the-country_964/index.html,Â£18.02,In stock,../media/cache/f5/88/f5889d038f5d8e949b494d147c2dcf54.jpg,maude-1883-1993she-grew-up-with-the-country_964/index.html
37,"In a Dark, Dark Wood",One,in-a-dark-dark-wood_963/index.html,Â£19.63,In stock,../media/cache/23/85/238570a1c284e730dbc737a7e631ae2b.jpg,in-a-dark-dark-wood_963/index.html
38,Behind Closed Doors,Four,behind-closed-doors_962/index.html,Â£52.22,In stock,../media/cache/e1/5c/e15c289ba58cea38519e1281e859f0c1.jpg,behind-closed-doors_962/index.html
39,You can't bury them all: Poems,Two,you-cant-bury-them-all-poems_961/index.html,Â£33.63,In stock,../media/cache/e9/20/e9203b733126c4a0832a1c7885dc27cf.jpg,you-cant-bury-them-all-poems_961/index.html
40,Slow States of Collapse: Poems,Three,slow-states-of-collapse-poems_960/index.html,Â£57.31,In stock,../media/cache/72/41/72417db983862010ef0c1a25de98c7d7.jpg,slow-states-of-collapse-poems_960/index.html
41,Reasons to Stay Alive,Two,reasons-to-stay-alive_959/index.html,Â£26.41,In stock,../media/cache/cb/bd/cbbdb0222ee8a0f6ab61657412a15794.jpg,reasons-to-stay-alive_959/index.html
42,Private Paris (Private #10),Five,private-paris-private-10_958/index.html,Â£47.61,In stock,../media/cache/9d/05/9d0533bae1578846d728a82913b95c26.jpg,private-paris-private-10_958/index.html
43,#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,Five,higherselfie-wake-up-your-life-free-your-soul-find-your-tribe_957/index.html,Â£23.11,In stock,../media/cache/9c/46/9c463c7631c82401160fd3b554b8f0e1.jpg,higherselfie-wake-up-your-life-free-your-soul-find-your-tribe_957/index.html
44,Without Borders (Wanderlove #1),Two,without-borders-wanderlove-1_956/index.html,Â£45.07,In stock,../media/cache/24/e2/24e2f5c9d325c4004d8190c054da86dd.jpg,without-borders-wanderlove-1_956/index.html
45,When We Collided,One,when-we-collided_955/index.html,Â£31.77,In stock,../media/cache/08/04/08044269fc197645268a6197c57e6173.jpg,when-we-collided_955/index.html
46,"We Love You, Charlie Freeman",Five,we-love-you-charlie-freeman_954/index.html,Â£50.27,In stock,../media/cache/5f/15/5f152afdbc42356ecba02f61058a7e5b.jpg,we-love-you-charlie-freeman_954/index.html
47,Untitled Collection: Sabbath Poems 2014,Four,untitled-collection-sabbath-poems-2014_953/index.html,Â£14.27,In stock,../media/cache/f9/3b/f93b4a650f03a5d21f2436d7813f42c2.jpg,untitled-collection-sabbath-poems-2014_953/index.html
48,"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",Four,unseen-city-the-majesty-of-pigeons-the-discreet-charm-of-snails-other-wonders-of-the-urban-wilderness_952/index.html,Â£44.18,In stock,../media/cache/41/a2/41a20f35adf0caea24f208dc01ad7681.jpg,unseen-city-the-majesty-of-pigeons-the-discreet-charm-of-snails-other-wonders-of-the-urban-wilderness_952/index.html
49,Unicorn Tracks,Three,unicorn-tracks_951/index.html,Â£18.78,In stock,../media/cache/76/8e/768ea5924ac1ef6297c2be9959c796c2.jpg,unicorn-tracks_951/index.html
50,"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",One,unbound-how-eight-technologies-made-us-human-transformed-society-and-brought-our-world-to-the-brink_950/index.html,Â£25.52,In stock,../media/cache/4a/3b/4a3b055f9e378a95fedbef55e7bab7ce.jpg,unbound-how-eight-technologies-made-us-human-transformed-society-and-brought-our-world-to-the-brink_950/index.html
51,Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),One,tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/index.html,Â£16.28,In stock,../media/cache/36/df/36df4caaf1420b1183a8235355d39e69.jpg,tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/index.html
52,Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,Three,throwing-rocks-at-the-google-bus-how-growth-became-the-enemy-of-prosperity_948/index.html,Â£31.12,In stock,../media/cache/03/86/038650c9e7517b4baf2a423cd8eed38f.jpg,throwing-rocks-at-the-google-bus-how-growth-became-the-enemy-of-prosperity_948/index.html
53,This One Summer,Four,this-one-summer_947/index.html,Â£19.49,In stock,../media/cache/c4/dd/c4ddd9ced89966b0602ec85e00cd5b61.jpg,this-one-summer_947/index.html
54,Thirst,Five,thirst_946/index.html,Â£17.27,In stock,../media/cache/c4/0a/c40a64f59e7487b1a80a049f6ceb2ba5.jpg,thirst_946/index.html
55,The Torch Is Passed: A Harding Family Story,One,the-torch-is-passed-a-harding-family-story_945/index.html,Â£19.09,In stock,../media/cache/33/e5/33e507172541628acfd421503196b578.jpg,the-torch-is-passed-a-harding-family-story_945/index.html
56,The Secret of Dreadwillow Carse,One,the-secret-of-dreadwillow-carse_944/index.html,Â£56.13,In stock,../media/cache/c4/a2/c4a2a1a026c67bcceb5a411c724d7d0c.jpg,the-secret-of-dreadwillow-carse_944/index.html
57,"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",One,the-pioneer-woman-cooks-dinnertime-comfort-classics-freezer-food-16-minute-meals-and-other-delicious-ways-to-solve-supper_943/index.html,Â£56.41,In stock,../media/cache/b7/f4/b7f4843dbe062d44be1ffcfa16b2faa4.jpg,the-pioneer-woman-cooks-dinnertime-comfort-classics-freezer-food-16-minute-meals-and-other-delicious-ways-to-solve-supper_943/index.html
58,The Past Never Ends,Four,the-past-never-ends_942/index.html,Â£56.50,In stock,../media/cache/89/b8/89b850edb01851a91f64ba114b96acb6.jpg,the-past-never-ends_942/index.html
59,The Natural History of Us (The Fine Art of Pretending #2),Three,the-natural-history-of-us-the-fine-art-of-pretending-2_941/index.html,Â£45.22,In stock,../media/cache/5d/7f/5d7f496cdf5e5962a73ecdcc1505c1d5.jpg,the-natural-history-of-us-the-fine-art-of-pretending-2_941/index.html
60,The Nameless City (The Nameless City #1),Four,the-nameless-city-the-nameless-city-1_940/index.html,Â£38.16,In stock,../media/cache/f4/79/f479de5f305c2ac0512702cf7155bb74.jpg,the-nameless-city-the-nameless-city-1_940/index.html
61,The Murder That Never Was (Forensic Instincts #5),Three,the-murder-that-never-was-forensic-instincts-5_939/index.html,Â£54.11,In stock,../media/cache/dc/44/dc44f8e2aebac48ca8553814d9b021a8.jpg,the-murder-that-never-was-forensic-instincts-5_939/index.html
62,The Most Perfect Thing: Inside (and Outside) a Bird's Egg,Four,the-most-perfect-thing-inside-and-outside-a-birds-egg_938/index.html,Â£42.96,In stock,../media/cache/d4/8d/d48d5122a15347e9fe2b15ad354d69bf.jpg,the-most-perfect-thing-inside-and-outside-a-birds-egg_938/index.html
63,"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",Four,the-mindfulness-and-acceptance-workbook-for-anxiety-a-guide-to-breaking-free-from-anxiety-phobias-and-worry-using-acceptance-and-commitment-therapy_937/index.html,Â£23.89,In stock,../media/cache/f8/6d/f86d08178e3788563ac17be5aefd29f0.jpg,the-mindfulness-and-acceptance-workbook-for-anxiety-a-guide-to-breaking-free-from-anxiety-phobias-and-worry-using-acceptance-and-commitment-therapy_937/index.html
64,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Three,the-life-changing-magic-of-tidying-up-the-japanese-art-of-decluttering-and-organizing_936/index.html,Â£16.77,In stock,../media/cache/95/64/95647d6a526bf54120b9445e124794e1.jpg,the-life-changing-magic-of-tidying-up-the-japanese-art-of-decluttering-and-organizing_936/index.html
65,"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",Five,the-inefficiency-assassin-time-management-tactics-for-working-smarter-not-longer_935/index.html,Â£20.59,In stock,../media/cache/75/dc/75dce2f5949b407161f37f0af249b018.jpg,the-inefficiency-assassin-time-management-tactics-for-working-smarter-not-longer_935/index.html
66,The Gutsy Girl: Escapades for Your Life of Epic Adventure,One,the-gutsy-girl-escapades-for-your-life-of-epic-adventure_934/index.html,Â£37.13,In stock,../media/cache/64/15/641570cd7e7aded53c7d33d78a9629f1.jpg,the-gutsy-girl-escapades-for-your-life-of-epic-adventure_934/index.html
67,The Electric Pencil: Drawings from Inside State Hospital No. 3,One,the-electric-pencil-drawings-from-inside-state-hospital-no-3_933/index.html,Â£56.06,In stock,../media/cache/2e/23/2e236e23ad52aa74505f224f6552eda8.jpg,the-electric-pencil-drawings-from-inside-state-hospital-no-3_933/index.html
68,The Death of Humanity: and the Case for Life,Four,the-death-of-humanity-and-the-case-for-life_932/index.html,Â£58.11,In stock,../media/cache/71/df/71df730cf38c232ee58a2e407135f055.jpg,the-death-of-humanity-and-the-case-for-life_932/index.html
69,"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",Three,the-bulletproof-diet-lose-up-to-a-pound-a-day-reclaim-energy-and-focus-upgrade-your-life_931/index.html,Â£49.05,In stock,../media/cache/ee/3e/ee3e219d23e73ba71c79b700f183aaed.jpg,the-bulletproof-diet-lose-up-to-a-pound-a-day-reclaim-energy-and-focus-upgrade-your-life_931/index.html
70,The Art Forger,Three,the-art-forger_930/index.html,Â£40.76,In stock,../media/cache/70/fa/70fa6c0437d9c97dbeada6bd32bf9d2c.jpg,the-art-forger_930/index.html
71,The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,One,the-age-of-genius-the-seventeenth-century-and-the-birth-of-the-modern-mind_929/index.html,Â£19.73,In stock,../media/cache/2d/4e/2d4e358712e6c9f1d3bdd78d1a16e5a8.jpg,the-age-of-genius-the-seventeenth-century-and-the-birth-of-the-modern-mind_929/index.html
72,The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,Five,the-activists-tao-te-ching-ancient-advice-for-a-modern-revolution_928/index.html,Â£32.24,In stock,../media/cache/96/db/96db61bb53930c560fb4c1c62b583816.jpg,the-activists-tao-te-ching-ancient-advice-for-a-modern-revolution_928/index.html
73,Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,Four,spark-joy-an-illustrated-master-class-on-the-art-of-organizing-and-tidying-up_927/index.html,Â£41.83,In stock,../media/cache/f3/4f/f34ffb24cc21c9f9f52dad4fd8f3ac21.jpg,spark-joy-an-illustrated-master-class-on-the-art-of-organizing-and-tidying-up_927/index.html
74,Soul Reader,Two,soul-reader_926/index.html,Â£39.58,In stock,../media/cache/69/85/69852567cf97264a1442cbc882c84903.jpg,soul-reader_926/index.html
75,Security,Two,security_925/index.html,Â£39.25,In stock,../media/cache/da/df/dadfac66a89774b46b10225362724c83.jpg,security_925/index.html
76,"Saga, Volume 6 (Saga (Collected Editions) #6)",Three,saga-volume-6-saga-collected-editions-6_924/index.html,Â£25.02,In stock,../media/cache/43/ae/43aee83ebb31e2122a7215e413770e5c.jpg,saga-volume-6-saga-collected-editions-6_924/index.html
77,"Saga, Volume 5 (Saga (Collected Editions) #5)",Two,saga-volume-5-saga-collected-editions-5_923/index.html,Â£51.04,In stock,../media/cache/e1/ea/e1ea6cb36e62ae6dc7b805f68ab9a700.jpg,saga-volume-5-saga-collected-editions-5_923/index.html
78,Reskilling America: Learning to Labor in the Twenty-First Century,Two,reskilling-america-learning-to-labor-in-the-twenty-first-century_922/index.html,Â£19.83,In stock,../media/cache/97/f8/97f8debeeaaece9603267653076e760f.jpg,reskilling-america-learning-to-labor-in-the-twenty-first-century_922/index.html
79,"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",Three,rat-queens-vol-3-demons-rat-queens-collected-editions-11-15_921/index.html,Â£50.40,In stock,../media/cache/f3/ef/f3efd43ae0fa85d9b325d5e8783e7af5.jpg,rat-queens-vol-3-demons-rat-queens-collected-editions-11-15_921/index.html
80,"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",Five,princess-jellyfish-2-in-1-omnibus-vol-01-princess-jellyfish-2-in-1-omnibus-1_920/index.html,Â£13.61,In stock,../media/cache/78/0b/780b2c28122750c2c383846155815bf7.jpg,princess-jellyfish-2-in-1-omnibus-vol-01-princess-jellyfish-2-in-1-omnibus-1_920/index.html
81,Princess Between Worlds (Wide-Awake Princess #5),Five,princess-between-worlds-wide-awake-princess-5_919/index.html,Â£13.34,In stock,../media/cache/b7/e8/b7e84b78be3d9bb79b71156a5e5d4e42.jpg,princess-between-worlds-wide-awake-princess-5_919/index.html
82,"Pop Gun War, Volume 1: Gift",One,pop-gun-war-volume-1-gift_918/index.html,Â£18.97,In stock,../media/cache/c8/2f/c82f629a31b3f47bdb17ac14aa51076d.jpg,pop-gun-war-volume-1-gift_918/index.html
83,"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",Two,political-suicide-missteps-peccadilloes-bad-calls-backroom-hijinx-sordid-pasts-rotten-breaks-and-just-plain-dumb-mistakes-in-the-annals-of-american-politics_917/index.html,Â£36.28,In stock,../media/cache/64/44/6444dacdcb9edaadbbd691524622aeb8.jpg,political-suicide-missteps-peccadilloes-bad-calls-backroom-hijinx-sordid-pasts-rotten-breaks-and-just-plain-dumb-mistakes-in-the-annals-of-american-politics_917/index.html
84,Patience,Three,patience_916/index.html,Â£10.16,In stock,../media/cache/01/72/01726c619a05114dca75bd840095016d.jpg,patience_916/index.html
85,"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",Four,outcast-vol-1-a-darkness-surrounds-him-outcast-1_915/index.html,Â£15.44,In stock,../media/cache/cb/00/cb004189f548d75ad430d3ed19e6daa9.jpg,outcast-vol-1-a-darkness-surrounds-him-outcast-1_915/index.html
86,orange: The Complete Collection 1 (orange: The Complete Collection #1),One,orange-the-complete-collection-1-orange-the-complete-collection-1_914/index.html,Â£48.41,In stock,../media/cache/03/88/03886a8502ca54dbce0d91c2568ab69d.jpg,orange-the-complete-collection-1-orange-the-complete-collection-1_914/index.html
87,Online Marketing for Busy Authors: A Step-By-Step Guide,One,online-marketing-for-busy-authors-a-step-by-step-guide_913/index.html,Â£46.35,In stock,../media/cache/ea/9b/ea9b2cb8abbb317402e618445bade1e1.jpg,online-marketing-for-busy-authors-a-step-by-step-guide_913/index.html
88,On a Midnight Clear,Three,on-a-midnight-clear_912/index.html,Â£14.07,In stock,../media/cache/a1/14/a114d70e7babf110ba42a389078e9a45.jpg,on-a-midnight-clear_912/index.html
89,Obsidian (Lux #1),Two,obsidian-lux-1_911/index.html,Â£14.86,In stock,../media/cache/fc/72/fc72f158554b4b4164701e1dfa1153c7.jpg,obsidian-lux-1_911/index.html
90,My Paris Kitchen: Recipes and Stories,Two,my-paris-kitchen-recipes-and-stories_910/index.html,Â£33.37,In stock,../media/cache/f5/65/f565af3d9dd20a1ad72a1e7c4157387d.jpg,my-paris-kitchen-recipes-and-stories_910/index.html
91,Masks and Shadows,Two,masks-and-shadows_909/index.html,Â£56.40,In stock,../media/cache/ff/e8/ffe81bf98f8386ef29e193abfb6f9c1e.jpg,masks-and-shadows_909/index.html
92,"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",Four,mama-tried-traditional-italian-cooking-for-the-screwed-crude-vegan-and-tattooed_908/index.html,Â£14.02,In stock,../media/cache/10/c6/10c61093002db1fec4089d8076678624.jpg,mama-tried-traditional-italian-cooking-for-the-screwed-crude-vegan-and-tattooed_908/index.html
93,"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",Two,lumberjanes-vol-2-friendship-to-the-max-lumberjanes-5-8_907/index.html,Â£46.91,In stock,../media/cache/d3/15/d3158e8d3546fb90cced3c1d44a92a34.jpg,lumberjanes-vol-2-friendship-to-the-max-lumberjanes-5-8_907/index.html
94,"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",Three,lumberjanes-vol-1-beware-the-kitten-holy-lumberjanes-1-4_906/index.html,Â£45.61,In stock,../media/cache/7e/a0/7ea062007ef00107e3c16d336b41fab2.jpg,lumberjanes-vol-1-beware-the-kitten-holy-lumberjanes-1-4_906/index.html
95,Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),Two,lumberjanes-vol-3-a-terrible-plan-lumberjanes-9-12_905/index.html,Â£19.92,In stock,../media/cache/5f/b1/5fb1bf88dcfda795606745ce35be5975.jpg,lumberjanes-vol-3-a-terrible-plan-lumberjanes-9-12_905/index.html
96,"Layered: Baking, Building, and Styling Spectacular Cakes",One,layered-baking-building-and-styling-spectacular-cakes_904/index.html,Â£40.11,In stock,../media/cache/98/d1/98d1c979c4bac9e147a6718946578b0f.jpg,layered-baking-building-and-styling-spectacular-cakes_904/index.html
